,0,1,gold_simple
2,proposed,are offering,1
4,our youth,adolescents,0
5,upper,high-end,0
6,reused,re-used,1
7,that people,folks,0
8,sentiment,feeling,1
9,the collapse,breakdown,1
13,laid off,dismiss,1
14,their education,educating,1
15,mother,mom 's,1
16,u.s,the united states government,0
17,jeopardy,a threat,1
18,return,comeback,0
19,their speeches,presentations,0
21,instigate,evoke,1
22,killer,kill,1
24,the legislative,legislature,1
25,two,both of,0
26,politician,policy makers,0
28,was identified,located,1
29,correspondents,communications,1
30,the procedure,proceedings,0
31,names,brands,0
32,gender,a gender perspective,0
33,route,path,1
34,lofty,impressive,1
38,bulk,a huge amount,1
40,updating,an updated version,0
42,our businesses,companies,1
43,erode,degrade,1
44,pictured,filmed,1
46,the appeal,proceedings,1
47,shores,coasts,0
48,the mob,crowds,1
49,performed,has been carried out,0
50,terminated,canned,1
51,plenty,a pile,1
52,douglas,doug,1
54,fungi,fungal,1
56,fuss,excitement,0
57,shade,complexion,0
58,weakens,decays,0
60,snacks,brownies,1
61,low-tech,low-skill,1
63,hustle,commotion,0
64,all other,additional,0
66,state,a nation,0
67,desert,abandonment,0
68,attract,arouse,0
69,dresses,clothes,1
70,not appropriate,inadequate,0
72,wounded,sustained injuries,0
73,realized,made possible,1
74,video,digital,0
75,remarkably,incredibly,1
77,this area,field,0
80,was falling,decreased,0
81,good enough,appropriate,0
82,supporting,promoting,0
83,list of speakers for,list,1
84,australians,australian,1
85,rushing,running,1
86,the living,beings,0
87,menus,menu,1
88,lawns,lands,1
90,policemen,an officer,0
92,spent,is using,0
93,relaxing,just relax,0
94,nineteenth-century,19th,1
95,make decisions,decides,1
96,billboards,a poster,1
97,something,anything else,0
100,unlock,be opened,1
101,fight back,battle,1
102,suspicious,shady,1
103,inhospitable,hostile,1
104,dictionnaire,dictionary,1
105,the stresses,pressure,1
106,older,old people,1
107,the crowds,audiences,0
109,noted that,highlighted,0
110,the boom,growth,1
111,hostility,hostile,1
112,move on,changing,0
113,that level,class,1
116,the cargo,freight,0
117,policing,police officers,1
118,toys,a game,1
120,buyers,a customer,0
121,volcano,mountain,1
123,martha,marta,1
124,techniques,methodological,0
125,would-be,aspiring,1
126,is here,arrives,0
127,walks,walking,1
128,passes,goes through,0
130,politician,political,1
131,impressive,flashy,1
132,144th,144,1
133,kidnappers,kidnap,1
135,panels,a committee,1
138,reduced,is low,1
140,marcus,marc,1
141,going away,go,1
143,public education,educational,1
144,volunteering,volunteer activities,1
145,small-town,small,1
146,takeover,buy-out,1
147,theme,the subjects,1
149,schemes,methods,1
150,threatening,be dangerous,1
151,relaxing,'s relaxing,0
152,one example,models,0
153,is released,distributing,0
154,overlooked,are ignored,1
155,lobbying,lobby groups,0
158,the smoke,cigarettes,0
159,man-made,human-made,0
160,supporting,brace,0
161,unaffordable,expensive,1
162,holiday,a vacation,1
163,progresses,'re moving on,1
164,transmission,broadcasting,1
165,too low,slight,0
166,the east,northeast,0
168,strangers,aliens,0
169,transmitting,distributing,1
171,got him,got,1
172,luggage,checked baggage,0
173,officer,each officer,1
175,is expected,anticipated,0
176,speak,saying that,1
178,kindle,flare,1
181,somewhat lower,fewer,1
183,videotaped,filmed,1
184,producing,be generated,0
185,thrilled,amazed,1
186,significantly,dramatically,1
187,lynne,lin,1
189,cesar,ceasar,1
190,sanitation,disinfection,1
192,to assist,supports,1
193,written,drew up,0
194,tie,knot,0
195,students,my children,1
196,jeopardy,distress,1
197,grade,designation,0
198,the protection of,secure,1
200,wish,want you to,0
203,hospitals,clinic,1
204,the instructions,directs,0
205,sought out,approached,1
206,my children,girls,1
207,our businesses,businessmen,1
209,the sample,specimens,0
210,picked,confiscated,0
211,corresponding,correspondents,1
212,handle,are responsible for,0
214,restricted,restrict,1
217,the building blocks,bases,1
218,food production,feed,1
219,mission,aims,0
220,occurrence,its existence,1
222,observers,observations,1
223,laid off,discarded,0
224,our businesses,businesspeople,0
226,recesses,cavities,1
227,triggered,precipitated,0
228,rear,hind,0
230,the requirements,necessity,1
231,remedy,medicine,1
232,subsidies,assistance,1
233,decreasing,are reduced,0
234,government,feds,0
235,pastries,brownies,1
237,its existence,exists,1
239,harness,be used,1
241,maturity,fruition,0
242,path,line,1
243,would-be,potential,0
244,instances,aspects,1
245,purchase,get them,1
246,not appropriate,inappropriate,0
248,preserves,be protected,0
249,solution,one option,0
250,ruler,governor,0
251,practically,nearly all,1
252,decreasing,be lowered,1
254,paulo,paolo,1
255,their education,instruction,0
256,foam,bubble,1
257,runner,run,1
258,time to time,continuing,0
259,upgrading,an update,1
260,hall,city hall,0
261,knocks,is striking,0
262,the building blocks,foundation,0
263,the smoke,smog,0
265,lavish,deluxe,1
266,suppression,proscription,1
267,golfer,golf,1
268,yes,sure you do,0
270,predicted,is expected,1
272,tracking down,tracking,1
273,hunting,chasing,1
274,workout,fitness,0
275,the protection of,guard,1
276,"well , sheriff",sheriff,1
277,forefront,firstly,1
278,will see,viewed,0
279,save her,rescued,0
281,holiday,festival,0
282,the mistrust,suspicion,1
283,sheltered,protected,1
284,journalism,a reporter,1
285,sheltered,shaded,0
286,yes .,sure,0
287,the games,entertainment,0
288,chapters,articles,1
289,steadfast,persistent,1
290,accumulations,accumulate,1
291,the executive,director,1
293,investments,incomes,1
294,difference,a gap,1
295,evaluated,being reviewed,1
299,very similar,similar,1
300,underwater,scuba,0
301,mr. davis,davis,0
303,makeshift,interim,0
304,grown-ups,adultes,0
305,others,another one,1
306,language,dialect,0
307,the land,soil,0
308,afterwards,afterward,1
309,her position,duty,1
310,sought out,explored,1
312,awareness of,appreciation,0
313,critique,critic,1
314,the 1970s,1972,1
315,nuisance,inconvenience,0
316,exposure,exposed,1
317,professionnelle,pro,1
318,not many,few,1
319,the elders,old,1
320,getting better,better,1
321,monday 's,monday,1
322,offenders,criminal offence,0
323,my glass,drink,1
324,have,has received,0
325,marco,marc,1
326,my children,babies,1
327,latches,catches,1
328,models,examples of this,0
330,weapon,the gun,1
331,laid off,dismissed,0
332,idea,a great idea,0
333,unlock,opening up,0
334,walsh,ms. walsh,0
335,the big,major,0
337,successful,fortunate,0
339,the studies,examination,0
340,measurement,gauges,0
341,grows,adding to,0
343,yes .,ok,1
344,revitalizing,energize,1
346,the failings,deficits,0
347,was saying,noted,0
348,institute,an institution,1
349,their communications,announcements,1
350,to happen,happens,1
351,article,an essay,0
352,radio broadcasts,broadcasting,1
353,servant,handyman,0
355,mounting,installation,1
356,jacqui,jackie,1
357,different countries,countries,1
359,split,a gap,1
360,reduce,cushion,0
361,placed,installation,0
363,public prosecutors,attorney,1
365,domain,area of,1
366,politics,political party,0
367,renee,rene,1
368,norms,a regulation,0
370,sicker,sick,1
371,returns,goes back,1
373,heading,headers,0
375,hurdles,a hard time,1
376,shows,models,0
378,the lawyer,prosecutors,0
379,headings,headers,1
380,pet,dog,1
381,remarkably,interestingly enough,0
382,full-range,full-fledged,1
383,expression,an opinion,1
384,was declared,proclaimed,0
385,new chapters,chapters,1
386,injured,getting hurt,1
387,the machines,computers,1
388,waiting,'il wait,0
389,philippines,filipino,1
390,several groups,batch,0
391,has created,formed,1
392,the freight,shipping,1
393,topics,the subjects,0
394,your chest,breast,0
395,would-be,possible,1
396,not many,little,1
397,6.5 percent,6.5,1
398,rescued,can be saved,1
399,is low,declines,0
400,push,hit it,0
401,to start,begin,1
402,lesser,least likely,0
403,passenger cars,auto,1
404,wonders,a miracle,0
405,the woods,forest,0
406,sleeves,envelopes,0
407,drew up,designed,0
408,having fun,enjoy,0
409,low-tech,crude,1
412,the games,match,0
413,the shells,ammunition,0
414,residential areas,residential,1
415,doing,do something,0
416,one example,instance,0
417,transmitting,disseminating,0
419,think tanks,tanks,1
420,absent,absence,0
422,the company 's,corporation,0
423,leaves,is leaving,0
424,tanks,fuel tanks,0
427,new equipment,machinery,1
428,to buy,purchasing,0
429,overlooked,be forgotten,1
430,the channel,canal,1
431,"oh , kate",kate,1
432,high-performance,high-end,1
433,hunting,hunt,1
434,going up,climbing,0
435,subdividing,dividing,1
436,wellington street,wellington,1
437,commanders,an officer,1
438,nuisance,disruptive,1
439,enemies,an opponent,0
440,coordinate,consolidate,0
441,increased,going up,1
442,good,getting better,0
443,another one,alternative,0
444,jeopardy,grave danger,1
445,noted that,indicated,0
446,shortfalls,a reduction,0
447,the responsibility,duty,1
448,scheme,rip-off,0
449,dividing,dispersed,0
450,unanimously,adopted unanimously,0
451,subsequently amended,modified,1
452,filmed,captured,0
454,reductions,lows,1
455,the collapse,ruin,1
456,actively,active part,0
457,scrambled,encoded,0
458,shady,shaded,1
459,productions,food production,1
460,options,a choice,1
461,fiery,ardent,1
462,fuss,complication,0
463,trigger,evoke,1
464,the sample,model,1
465,the 1970s,1974,1
466,seemingly,nearly,1
467,wizard,sorcerer,1
468,sumptuous,lavish,1
470,wood,the woods,1
471,era,dynasty,0
472,custody,arrest,1
473,shunned,is refused,1
474,wastes,the garbage,1
475,recreational,rec,1
476,lunchroom,cafeteria,0
477,grandson,grandchild,1
478,standards,accounting standards,0
479,the entrance,gates,1
480,unwise,not appropriate,1
481,unanimously,a consensus,1
482,operates,is using,1
483,xander,alexander,0
484,familiar,aware of,0
486,intended,destination,0
488,the 9th,ninth,1
489,paychecks,checks,1
490,vaccine,immunization,0
491,were built,erected,0
492,cancers,cancer screening,0
494,withdrawal,opt out,1
496,ideas,a great idea,0
497,were detected,observed,1
498,they all,every,1
499,that people,anyone,1
500,the living,life,1
503,gripped,grasped,1
504,self-employed,independent,1
505,plagued,afflicted,1
506,sensors,scanners,1
507,shaped,modeling,1
508,join,be one of them,0
509,defunct,absent,1
510,facial,face,1
512,zip,0,1
513,sculpt,carve,1
514,to assist,cooperate,1
516,the land,province,0
517,noted that,indicates,0
518,kindle,ignite,1
519,hungary,hungarian,1
521,told him,telling,1
523,observers,informants,0
524,restrictions,conditions,1
525,prohibited,outlaw,1
528,decisions,a choice,1
529,the figure,statistics,0
530,the instructions,statement,0
531,swim,go swimming,0
532,treasured,safeguarded,0
533,pre-screened,evaluated,1
535,pro,favours,0
536,return,back in,0
537,strikes,hit it,1
538,superior,enhanced,1
540,develop,be built,1
541,washing,bathing,1
542,the vehicles,automobile,1
543,surfing,browse,1
544,menus,listings,0
546,discussions,communications,0
547,made possible,achieved,0
548,was declared,claimed,1
549,the origin,sources,1
550,50th,50-year,1
551,talking,saying that,1
554,troubles,health problems,0
555,established,defined as,1
557,good enough,good,1
558,worries,is a problem,1
560,laid off,eliminated,0
561,until then,meantime,0
563,puberty,maturity,1
564,difficult,a hard time,1
565,the scores,points,1
566,to assist,aid,1
567,actively,activates,1
568,very recently,nowadays,0
569,the us defense department,pentagon,1
570,upgrades,an update,1
571,pretty soon,nearly,1
572,rise,are increasing,0
574,sudden,snap,1
575,problems,issue,0
576,sacred,consecrated,0
577,building,be built,0
578,pass,goes through,0
579,the lawyer,attorney,1
582,husbands,dads,1
583,most carefully,cautiously,0
584,trend,phenomena,0
586,want you to,insist,0
587,old people,elderly,0
588,receives,has received,0
590,meet us,join,0
591,calculus,arithmetic,1
592,the pieces,debris,0
594,permanently,indefinitely,0
595,left,going away,1
596,that people,individuals,0
597,the keys,solutions,0
599,the operation,operates,1
600,tracking down,track,1
601,was explained,interpreted,0
602,plagued,bedevilled,0
603,personal information,info,1
605,nearly all,most,1
606,defense,armed,1
608,offering,be offered,0
609,kidnap,abduct,0
610,sensors,sensing,1
612,judgment,critic,0
613,australians,australia 's,1
614,eighteen,18-year-old,0
615,the right direction,direction,1
616,expects,are expected,1
617,updating,to upgrade,0
618,the behavior,attitude,1
619,outlaw,banish,0
620,values,common values,0
621,leadership,an officer,1
622,historically,historical background,0
623,identified,defined as,1
625,alexandr,alexander,1
627,the feeling,sentiment,0
628,toolkits,kits,1
630,is applied,applies,1
631,treasure,hoard,0
632,philippine,filipino,1
634,tracks,the footsteps,1
635,latest,an update,0
636,rachel 's,rachel,1
637,views,an opinion,0
638,automotive,auto,1
639,coordinate,a coordination,0
640,the voices,opinions,1
641,physicians,nurses,1
642,to flee,escape,1
643,go down,drop,1
645,alexander,aleksandra,0
646,the district,region,1
647,the little,short,1
648,zone,places,1
649,very strong,stronger,0
651,musical,jazz,0
652,strictly,precisely,1
655,was saying,meant,1
657,lingua,language,1
658,marvellous,lavish,1
659,secretly,hidden,1
660,design,concept is,0
661,the strong,strengths,0
664,zone,the district,0
665,the studies,examining,1
666,residents,residential areas,1
667,the home,households,0
668,seemingly,evidently,1
669,kind of,generally,0
670,the bathtub,bathing,1
671,the boom,prosperity,0
673,grow up,ages,0
674,hometown,birthplace,0
675,malcom,malcolm,1
676,other,another one,0
677,websites,the site,1
679,respects,honors,0
680,stretches,spans,0
681,to start,began,1
682,community groups,community,1
683,pro-democracy,democracies,1
684,reused,re-use,1
685,real estate,assets,0
686,threatening,being challenged,1
687,publicizing,broadcasting,1
688,off,far off,1
689,katherine,catherine,1
690,congested,cluttered,1
691,functioning,being carried out,1
692,upholds,honors,1
694,the cargo,stock,0
695,ties,associates,1
697,progresses,is still under way,1
698,florida,fl,0
700,the goal,targets,0
701,the studies,review,0
702,community groups,association,0
703,the mediterranean sea,mediterranean,1
705,the studies,investigation,0
707,neighbor,a neighbour,1
708,increased,adding to,1
709,village,clan,0
710,to buy,shopping,0
711,chinook salmon,chinook,1
713,really hungry,hungry,1
714,very strong,robust,0
715,nails,fingernails,0
716,volunteering,voluntary participation,0
717,momma,mom 's,1
718,lax,careless,1
719,take them,adopt,0
720,secondly,afterward,1
721,prey,consumed,0
722,periods,long periods,1
723,pressure,particular pressure,0
724,van,the truck,0
725,their case,suit,0
726,house,dorm,0
728,the rich diversity,diversity,1
729,thirst,greed,0
730,microfilmed,filmed,1
731,economies,economic,1
732,instruction,direction,0
735,st.,lane,0
736,knack,gift,1
737,very excited,glad,1
738,the garbage,litter,0
739,hug,cuddle,0
740,usually,most cases,0
741,cancers,cancer cases,1
742,the legislative,congress,1
743,the pollutants,contamination,1
744,tracking down,locate,1
745,information resources,computers,1
746,principle,norm,1
748,playing,having fun,0
749,commander,a major,1
750,neglectful,lax,0
751,concerned about,cares,1
753,would-be,soon-to-be,1
758,very valuable,handy,1
759,values,treasures,1
760,our businesses,enterprise,0
761,skepticism,scepticism,1
762,preparing for,arrange,0
764,sensors,detectors,1
765,compatible,balanced,1
767,tides,flows,1
769,the games,matches,0
770,whiff,puff,1
771,throat,deep throat,1
772,that region,territory,0
773,liabilities,deficits,1
774,is here,coming,1
775,has decided,decides,1
776,make decisions,decided,1
779,nearly all,majority,0
780,cocoa,chocolate,1
781,been taken,arrested,0
782,stadium,gymnasium,0
783,deteriorated,degrade,1
785,trouble,is a problem,0
786,understands,defined as,0
787,counsels,attorney,1
788,recidivists,offenders,1
790,turkic,ottoman,1
791,well-established,full-fledged,1
792,dictionary,diccionario,0
794,guests,a customer,0
795,that level,degree,0
796,relieving,relaxing,1
797,carer,caregiver,0
798,that level,pace,1
799,threatening,menace,0
800,the agency,departments,1
801,childhood,a young age,1
805,the scores,outcomes,0
806,individually,certain individuals,1
807,lose your job,canned,0
808,is expected,anticipating,0
810,targeted,selective,1
811,the games,competition,0
812,has decided,chooses,1
813,independents,freelancers,0
814,unskilled,low-tech,1
815,offended,getting hurt,1
817,harmed,getting hurt,1
818,suspected,shady,1
819,proper,correctness,0
820,grow up,build,1
821,cut,canned,0
822,go down,fallen,0
823,the positions,locations,1
824,primary,elementary school,1
825,restrict,be reduced,0
826,batch,a lot,1
827,guard,custody,0
828,coming,'ve come,0
829,harmonise,coordinate,1
830,the opinions,positions,0
