majority,total,x,y,gold
5,7,delineate,constrained,"turkers=""constrained"""
6,7,requirement,request,"turkers=""request"""
3,7,professing,prayerfulness,"turkers=""NA"""
4,7,choice,aim,"turkers=""choice"""
5,7,rapidly,promptly,"turkers=""rapidly"""
6,7,requirement,criterion,"turkers=""requirement"""
4,7,hypothesized,hypothesis,"turkers=""NA"""
6,7,earthmovers,bulldozer,"turkers=""bulldozer"""
7,7,ineligible,constitutionally ineligible,"turkers=""ineligible"""
7,7,standard,norma,"turkers=""standard"""
6,7,formulated,adopted,"turkers=""adopted"""
7,7,wave,undulation,"turkers=""wave"""
7,7,warn,notifying,"turkers=""warn"""
7,7,leave,escape,"turkers=""leave"""
6,7,keen,bully,"turkers=""bully"""
4,7,grants,gotta,"turkers=""gotta"""
3,7,stricken,constrained,"turkers=""stricken"""
5,7,door,choice,"turkers=""door"""
5,7,motivation,determinations,"turkers=""motivation"""
5,7,complement,augmenting,"turkers=""complement"""
7,7,spurred,driven,"turkers=""driven"""
7,7,uttering forged instruments,unlawful,"turkers=""unlawful"""
4,7,endeavour,endeavor,"turkers=""NA"""
5,7,straitjacketed,constrained,"turkers=""constrained"""
3,7,weird,odd,"turkers=""odd"""
7,7,threshold,requirement,"turkers=""requirement"""
3,7,wave,roll,"turkers=""NA"""
5,7,notifying,approving,"turkers=""approving"""
3,7,inflexible,constrained,"turkers=""constrained"""
7,7,influence,constrained,"turkers=""influence"""
7,7,locution,expressions,"turkers=""expressions"""
3,7,formulated,blueprinted,"turkers=""blueprinted"""
7,7,kept,constrained,"turkers=""kept"""
6,7,impedes,disturbs,"turkers=""disturbs"""
5,7,requirement,duty,"turkers=""duty"""
7,7,direction,determinations,"turkers=""direction"""
7,7,hospitalities,choice,"turkers=""choice"""
5,7,complement,combining,"turkers=""combining"""
6,7,traumatization,stressor,"turkers=""stressor"""
6,7,requirement,permit,"turkers=""permit"""
7,7,standard,ansi ul,"turkers=""standard"""
6,7,standard,performance,"turkers=""standard"""
7,7,group,entity,"turkers=""group"""
